esiss_resource_id,Post Type,Title,Content,Slug,Status,Categories,Tags,Reading Box,Year Levels,Genres,Theme,Fiction/Non-fiction,Strategies,Ages,esiss_page_count,esiss_word_count,esiss_strategy,esiss_free_sample,esiss_blurb,esiss_related,esiss_activities,wushka_quiz_id,esiss_hfw,wushka_levels,wushka_comprehension,wushka_text_type,esiss_sounds,esiss_curriculum,Phase ,Tricky Words ,
220013,ebook,Working in the Hot Shop,"""Working in the Hot Shop"" can be used to introduce and reinforce the following skills: &bull; scanning and skimming a text for specific information &bull; synthesising information from text and visual sources &bull; using prior knowledge &bull; exploring verbs. Features of the text: &bull; Interview &bull; Procedural text with photographs &bull; Captions &bull; Specialised vocabulary &bull; Question-and-answer format",working-hot-shop,publish,eBook,,Bronze (Levels 31),g-six,Explanation|Interview|Procedure,Art and activity|Careers|Interviews|The arts,Non-fiction,Finding Main Ideas|Making connections|Making inferences|Sequencing|Summarising,g-10,6,784,"Making connections, Finding Main Ideas, Summarising, Making inferences, Sequencing, Scanning and Skimming, Synthesising Information ",,"In this interview, Karen Ellett talks about her job as a glassblower.","220007, 200194","Describe the process of glassblowing using labelled diagrams     Write questions for an interview with another crafts-person     List all the things you know that are made from glass     Identify the imperative verbs (take, roll)",650,,31,"Making Connections, Finding Main Ideas, Summarising, Making Inferences, Sequencing",Procedure|Procedure,,,,,
220014,ebook,Ed's Bull,"""Ed's Bull"" can be used to introduce and reinforce the following skills: &bull; visualising to make meaning &bull; determining the author's purpose &bull; exploring descriptive language &bull; forming and justifying opinions about characters' actions.  Features of the text: &bull; Realistic fiction &bull; Character development &bull; Action verbs &bull; Descriptive language &bull; Problem solving",eds-bull,publish,eBook,,Bronze (Levels 31),g-six,Realistic fiction,Art and activity|Challenge|Discovery|History|Leisure and recreation|Problem solving|The arts,Fiction,Distinguishing fact from opinion|Finding Main Ideas|Visualising,g-10,8,912,"Visualising, Distinguishing Between Fact and Opinion, Finding Main Ideas",,"Ed would rather be watching TV than cleaning the basement, but he soon discovers creative possibilities among the junk and cobwebs.","200753, 200754","identify words or phrases that help you form a picture of the basement use descriptive words to write a poem about a dark, scary place or a story about a world without TV make a model from recycled materials and write instructions for it",651,,31,"Visualising, Distinguishing Between Fact and Opinion, Finding Main Ideas",Realistic Fiction,,,,,
220011,ebook,On the Move,"""On the Move"" can be used to introduce and reinforce the following skills: &bull; summarising information &bull; interpreting information from diagrams and photographs &bull; using text as model for writing. Features of the text: &bull; sequenced explanation of a process &bull; cause and effect &bull; headings and subheadings &bull; diagrams and photographs &bull; procedure",on-the-move,publish,eBook,,Silver (Levels 23-24),d-three,Explanation|Procedure|Recount,Challenge|Geography|Invention|Science and technology,Non-fiction,Determining author's purpose,d-7,6,518,"Sequencing, Recognising Cause and Effect",,"The lighthouse at Cape Hatteras is the world's second tallest brick lighthouse. In 1999, it was moved inland to stop it from falling into the ocean.","200239, 200241",Write a summary of 'On the Move' and present orally to the class  Make a model of the Cape Hatteras lighthouse on the move,647,,23,"Sequencing, Recognising Cause and Effect",Procedure|Procedure,,,,,
200769,ebook,Last Seen,"Once, Earth was home to an even greater variety of living things than it is today. This book looks at some of the amazing animals that have become extinct and those that have been saved from extinction. It also discusses how people can protect plants and animals from dying out.Last Seen can be used to introduce and reinforce the following skills and understandings: &bull; evaluating ideas and information; &bull; identifying an author's purpose and point of view; &bull; identifying cause-and-effect relationships; &bull; exploring reasons for the extinction of plants and animals and how people have contributed to this process.  Features of the text: &bull; Scientific explanation &bull; Explanations of how and why. &bull; Illustrations, photographs, maps, diagrams, and captions &bull; Cause and effect &bull; Table of contents, glossary, and index",last-seen,publish,eBook,,Black (Levels 31+),g-six,Explanation|Recount,Animals birds and insects|Change over time|Changing earth|Environment|Habitats|Life science,Non-fiction,Recognising Cause and Effect|Recognising Bias and Prejudice|Distinguishing Between Fact and Opinion,g-10,32,,"Recognising Cause and Effect, Recognising Bias and Prejudice, Distinguishing Between Fact and Opinion",Y,What are the main causes of animal and plant extinction and do humans ever benefit from it? ,"200198, Â 200496","Think about different perspectives that might exist on the causes of extinction. For example, the need to protect people from dangerous animals (see page 14) or the need to clear forests to provide land for food crops in areas of food shortages. Find one issue to research from two points of view, and record your findings.",662,,31+,"Recognising Cause and Effect, Recognising Bias and Prejudice, Distinguishing Between Fact and Opinion",Explanation,,,,,
200771,ebook,The World of Maps,"Maps help us to locate places and find our way around. Today, many maps are available online. However, maps haven't always been accurate or easy to use. The information they provide is the result of thousands of years of exploration and technology.The World of Maps can be used to introduce and reinforce the following skills and understandings: &bull; synthesising prior knowledge with new information; &bull; exploring the development of mapping processes and how we use maps in today's world; &bull; using graphic sources of information.  Features of the text: &bull; Report with introduction, generalisation, examples, and conclusion &bull; Historical and modern maps, diagrams, charts, and photographs with captions &bull; History of maps and mapping &bull; Explanation of latitude and longitude and of projections &bull; Glossary and index",the-world-of-maps,publish,eBook,,Black (Levels 31+),g-six,Explanation|Report,Change over time|Discovery|Exploration|Geography|Science and technology,Non-fiction,"Synthesising prior knowledge with new information|Using graphic sources of information|Finding Main Ideas|Making Connections|Making Predictions, Sequencing|Visualising",g-10,32,,"Synthesising prior knowledge with new information, Using graphic sources of information, Finding Main Ideas, Making Connections, Making Predictions, Sequencing, Visualising",,Imagine trying to learn about the world or find your way without maps. Discover what the earliest maps looked like and how they have developed over time. ,"200493, 200495",Use the information in the book to construct a timeline of the development of mapping from ancient times to the present.,663,,31+,"Finding Main Ideas, Making Connections, Making Predictions, Sequencing, Visualising",Report,,,,,
200969,ebook,A Bright Idea,"This story looks at how to solve problems by thinking of new ideas. Mickey Mole is lost in the woods at night. His family want to search for him, but they are worried about losing their way in the dark. At first, they think the moonlight might light their way, but the night is cloudy. Mindy then suggests that they use fire sticks. The family sets out by firelight and finally finds Mickey. A sudden downpour puts out the fire sticks leaving the family unsure of how to find their way back home. In the end, Mindy has another idea to solve the problem. She catches fireflies in a jar and uses them to light their way back through the dark woods.A Bright Idea introduces and reinforces the following strategies: &bull; determining main ideas; &bull; determining cause and effect; &bull; making predictions. Features of the text: &bull; The information contained in the illustrations &bull; Content words: bright, find, fireflies, help, idea, know, look, Mole, use, work &bull; Phonics and phonemic awareness: consonant blends“ fl and th; long vowel sounds“ moon/too/poor and meeting/see/tree; word endings“ -ight  ",a-bright-idea,publish,eBook,,Orange (Levels 15-16),b-one,Fiction,Animals birds and insects|Invention|Problem solving,Fiction,Finding Main Ideas|Recognising Cause and Effect| Making Predictions,b-5,12,272,"Finding Main Ideas, Recognising Cause and Effect, Making Predictions",,It's dark and Mickey Mole is lost in the woods. How can his family light their way to find Mickey and bring him home? ,"200974, 200965",List the problems the mole family faced in the story and then list the solutions they found.,658,"could, from, had, has, her,him, his, how, know, of, put, some, take",15,"Finding Main Ideas, Recognising Cause and Effect, Making Predictions",General Narrative,,,,,
200766,ebook,People Power,"For many people in the world, survival is a struggle. This book looks at the people and organisations that help those in need, whether they are trying to cope after a natural disaster or struggling to overcome poverty. It also explores the small things that all people can do to help.People Power can be used to introduce and reinforce the following skills and understandings: &bull; making connections; &bull; evaluating ideas and information; &bull; identifying an author's purpose and point of view; &bull; discussing how governments, organisations, and individuals can make a difference in crisis situations.  Features of the text: Report with explanations: &bull; Examples and photographs from around the world &bull; Theme of people helping people &bull; Strong personal voice",people-power,publish,eBook,,Black (Levels 31+),g-six,Explanation|Report,Conflict|Different lands|Natural disasters|Overcoming obstacles|Responsibility,Non-fiction,Finding Main Ideas|Making connections,g-10,32,,"Making Connections, Recognising Bias and Prejudice, Finding Main Ideas",,"Without support from aid organisations, many people around the world would not survive poverty and natural disasters. But what is the most effective way to help?","200427, 200206","Discuss how governments, organisations and individuals can make a difference in crisis situations. Review the case study on page 23 and use this as a model to write another case study of an individual or organisation that has made a difference to people in need.",661,,31+,"Making Connections, Recognising Bias and Prejudice, Finding Main Ideas",Report,,,,,
200948,ebook,Penny the Firefighter,"This story looks at the job of a firefighter. Penny is a firefighter who works the night shift. She arrives at the fire station and checks her gear and the fire engine to make sure everything is working. After she exercises, she has dinner, but the fire bell interrupts her meal. She and the other firefighters rush off to put out a fire in a garden shed. After they put out the fire, they return to the fire station and check their gear again before sitting down to eat. However, the fire bell rings again. Penny and the other firefighters head out to another emergency.Penny the Firefighter introduces and reinforces the following strategies: &bull; making connections; &bull; determining main ideas; &bull; determining cause and effect. Features of the text: &bull; The information contained in the illustrations &bull; Content words: checks, fire engine, firefighter, fit, gear, helmet, night, siren, station, training, works &bull; Phonics and phonemic awareness: consonant blends“st; long vowel sounds“drives/fire/firefighter/night/siren/time; short vowel sounds“ fit/is/rings/sit/this",penny-the-firefighter,publish,eBook,,Blue (Levels 9-11),b-one,Realistic fiction,Careers|Safety|School and community,Fiction,Finding Main Ideas|Making connections|Recognising Cause and Effect,b-5,12,184,"Making Connections, Finding Main Ideas, Recognising Cause and Effect",,"When the fire bell rings, Penny the firefighter jumps into action, ready to respond to any emergency! ",2.00037E+11,Write a job advert for a firefighter. Think about the kind of person that would like this job as well as the skills that person would need.,657,"at, be, have, into, now, on, out, she, soon, they, this",10,"Making Connections, Finding Main Ideas, Recognising Cause and Effect",General Narrative,,,,,
200958,ebook,The Barking Dog,"This story looks at the fear some people have of dogs and how to overcome that fear. Hera lives next door to Mrs Frost, whose small dog Lexi barks at everyone and everything. Even though Lexi is little, she scares Hera. One day, Hera hears a change in Lexi's bark. She looks over the fence and sees that Mrs Frost has hurt her ankle and needs Hera's help. Hera is worried about coming near Lexi, but she wants to help her neighbour. Lexi senses that Hera is there to help Mrs Frost and stops barking. Over time, Hera gets to know Lexi and learns that Lexi barks for different reasons. In the end, Hera and Mrs Frost take Lexi to a dog show together, and Hera feels comfortable around not only Lexi but also the other dogs.    The Barking Dog introduces and reinforces the following strategies: &bull; making connections &bull; determining author's purpose &bull; asking and answering questions   Features of the text: The information contained in the illustrations &bull; Content words for discussion: barking, proud, scared &bull; Phonics and phonemic awareness: consonant blends "" fr and pr""; vowel blends "" around/ ground/house/outside/proud/sounded"" ",the-barking-dog,publish,eBook,,Purple (Levels 19-20),c-two,Realistic fiction,Animals birds and insects|Character education|Neighbourhood|Overcoming obstacles|Pets,Fiction,Determining author's purpose|Making connections|Making inferences,c-6,12,438,"Making Connections, Questioning, Making Inferences, Determining author's purpose",,"Hera is scared of her neighbour's dog, Lexi. When her neighbour has an accident, Hera learns to overcome her fear.","200971, 200374",Imagine you are nervous about meeting a dog you've never met before. Write a list of questions you could ask the dog's owner before you approach it.,659,"always, around, made, right, why",20,"Making Connections, Questioning, Making Inferences",General Narrative,,,,,
200961,ebook,Rain Forest Adventure,"This story looks at exploration and problem solving. Scientists Lisa and Matt go on an expedition to the rain forest to look for tree frogs. On their first day, they collect plants and insects and photograph rain forest animals, but they don't see any tree frogs. A rain shower causes them to take cover, and Matt takes off his backpack. Afterwards, Matt realises that a monkey has taken his pack with the tent inside. Luckily, Lisa's pack has the food and other supplies. In the end, Lisa and Matt make a shelter from branches and ferns, allowing them to stay overnight in the rain forest and finish their expedition.  Rain Forest Adventure introduces and reinforces the following strategies: &bull; making predictions; &bull; determining cause and effect; &bull; visualising. Features of the text: &bull; The information contained in the illustrations &bull; Content words: collected, expedition, explored, gear, maps, scientists, shelter, study, supplies, survive &bull; Phonics and phonemic awareness: consonant blends "" ck""; long vowel sounds ""food/moon""; short vowel sounds "" good/look/took""",rain-forest-adventure,publish,eBook,,Turquoise (Levels 17-18),c-two,Realistic fiction,Adventure|Exploration|Journeys|Problem solving,Fiction,Making predictions|Recognising Cause and Effect|Visualising,c-6,12,319,"Making Predictions, Recognising Cause and Effect, Visualising",,Lisa and Matt are on an expedition in the rain forest when a cheeky monkey steals their tent. What will they do for shelter now?,"200962, 200380",What would you take on a trip to the rain forest? Make a list of items and explain why you have chosen them.,660,"any, from, give, had, how, know, of, some, take, them, then, were",17,"Making Predictions, Recognising Cause and Effect, Visualising",General Narrative,,,,,
200153,ebook,High Wire,A boy is visiting his cousin in Australia and they go on a camping trip. They learn the importance of safety on a ropes course the hard way.  Features of High Wire &bull;  First-person narrative  &bull;  Realistic fiction  &bull;  Descriptive language  &bull;  Interaction between the characters Purpose High Wire can be used for the following purposes:  &bull;  introducing the ideas and vocabulary in the associated non-fiction title  &bull;  exploring the factual information in a fiction text  &bull;  making personal connections with the text  &bull;  exploring narrative structure and character development  &bull;  making inferences,high-wire,publish,eBook,,Emerald (Levels 25-26),d-three,General narrative,Challenge|Exploration|Safety|Science and technology,Fiction,Activating prior knowledge|Distinguishing fact from opinion|Making predictions,f-9,16,,"Activating prior knowledge, Making predictions, Distinguishing fact from opinion",,"A camping trip in the Australian bush sounds like a lot of fun, especially when you get to take part in a ropes course. The boy in this book learns that listening to the instructor is an important part of staying safe.","200154, 200149, 200232",Use the blackline master to write alternative endings for the story • Choose an extreme sport and list the rules and the safety equipment that would be needed • Explain the rules that the narrator broke and why they are important.,487,,26,"Making Connections, Making Predictions, Distinguishing Between Fact and Opinion",General Narrative,,,,,
200397,ebook,The Sock Gobbler and other stories,"This is a collection of short stories with similar themes around the imaginary characters or situations that children use to describe or explain events in their lives. The Sock Gobbler relates to one boy's attempt to discover what happens to missing socks. Features of the Book - Theme of imaginative invention, - Each story told in one chapter, - Variety of illustrative styles, - Stories told from different points of view, - Creative typography, - Short passages of text on each page, - Descriptive language - slimy, gurgled, draggled, slobbering, sweaty, browny-greeny Purpose - The Sock Gobbler and other stories can be used to introduce and reinforce the following skills: - identifying the imaginative fantasy theme of a story, - exploring an author's use of Descriptive language, - recognising a story's problem, - Comparing and contrasting writing styles, - using text as a model for students' own writing. For more information please see our Lesson Plan.",the-sock-gobbler-and-other-stories,publish,eBook,,Silver (Levels 23-24),d-three,Mystery|Tall tale,Humour,Fiction,Exploring text structure|Monitoring for meaning|Using graphic sources,e-8,32,,"Exploring text structure, Using graphic sources, Monitoring for meaning",,"Brent crept up to the washing machine and dropped in one of his sister's socks. Then he waited to see what would happen. He didn't have to wait long. Read these stories and decide whether sock gobblers, giants, and Martians are part of the real world.","200398, 200393","List the words 'gurgling, gobbling, grimy, draggled, slimy' and 'SCHLOP' as well as other descriptive words the students have noted or found interesting. Beside each word, write what the students think it means. Discuss the root word, where appropriate, and ask them to suggest how these words might be used in a sentence.",352,,24,Monitoring and Clarifying,"Mystery, Tall Tale",,,,,
200591,ebook,How Long Do Animals Live?,"How Long Do Animals Live? makes factual statements about the life spans of variety of animals. Features of the Book &bull; Two lines of text per page. &bull; Photographs to support the word change on each page. &bull; The use of a timeline. &bull; The use of question marks on each page. &bull; The word ""can"" to show onset and rime. &bull; The high frequency words - ""can,"" ""just,"" ""for,"" and ""like."" &bull; The blends - ""ch,"" ""gr,"" and ""wh."" Purpose How Long Do Animals Live? can be used in a guided reading setting to introduce and reinforce the following skills and strategies: &bull; using knowledge of onset and rime to create new words from those in the story &bull; using a range of punctuation to read expressively &bull; predicting outcomes from the illustrations writing labels for a specific purpose.",how-long-do-animals-live,publish,eBook,,Blue (Levels 9-11),b-one,Report,Animals birds and insects|Maths,Non-fiction,Activating prior knowledge|Comparing and contrasting|Using graphic sources,c-6,8,82,"Comparing and contrasting, Activating prior knowledge, Using graphic sources",,Do you know how long a rooster lives? How about a duck? Read this book to find out how long all kinds of animals live.,"200617, 200687","Make a timeline of the ages of the people in your family. Draw a picture of each person and write a label to show their age. Write factual statements comparing the life spans of two animals, for example, “A horse can live longer than a duck.”",114,"can, just, for, like",11,"Compare and Contrast, Making Connections",Report,,,,,
200647,ebook,The Great Bean Race,"Mr Moffat's purple racing beans cause instant excitement in the class as each child tries to coax their bean to reach the finish line first. Features of the Book - The use of dialogue and the question-and answer format. - Innovative uses of print to convey emphasis and increasing excitement. - The development of the children's characters through direct speech. - Effective use of punctuation to build momentum - ellipses, exclamation marks, and question marks. - The use of storybook language - In went the stones and Up, up, up they grew. - Detailed information about growing beans conveyed through an exciting narrative. - Alliteration in the names - Mr Moffat and Hester Hewitt. - The concept of time passing.  Purpose The Great Bean Race can be used in a guided reading setting to introduce and reinforce the following skills and strategies:  - discussing new vocabulary and extending understanding; - identifying the plot and characters within the story; - recognising and reading a range of different word patterns, including word endings; - writing about the steps in a procedure.",the-great-bean-race,publish,eBook,,Purple (Levels 19-20),c-two,General narrative|Procedure,Plants,Fiction,Determining author's purpose|Determining cause and effect|Determining main ideas|Using graphic sources,e-8,16,299,"Determining author's purpose, Determining cause and effect, Determining main ideas, Using graphic sources",,"The class is having a great bean race. Whose bean will be the tallest? After the holidays, the children find out that measuring all of the beans might be difficult!","200614, 200638",Write the story as a set of instructions for growing beans successfully.,327,,19,"Recognising Bias and Prejudice, Recognising Cause and Effect, Finding Main Ideas","General Narrative, Procedural Text",,,,,
200653,ebook,What's That Smell?,"What's That Smell? is set in a family home just before dinner. Each new spread introduce a different kind of smell and the responses of the two main characters. Features of the Book - The use of speech bubbles to expand upon the narrative. - The use of interjections - Mmmm, Yumm, and Yummy. - Varied use of ellipsis, signaling a pause in speech within speech bubbles, but a change of focus when used in text sentences. - The blends - sm, pl, sn, and fl. - The blends occurring at the end of words - lp, lf, and ld. - The high-frequency words - that, can, his, has, for.  Purpose What's That Smell? can be used in a guided reading setting to introduce and reinforce the following skills and strategies: - using visual cues to monitor that reading is making sense; - using a range of punctuation to read expressively; - discussing the cause and effect of specific events within the story; - incorporating diagrams, maps, and tables to support information.",whats-that-smell,publish,eBook,,Green (Levels 12-14),b-one,General narrative,Food|Relationships,Fiction,Analysing themes|Comparing and contrasting|Determining importance|Using graphic sources,c-6,16,104,"Comparing and contrasting, Using graphic sources, Determining importance, Analysing themes",,There are all kinds of smells around the house. What is the most delicious smell? The family and the dog have different ideas about that!,"200042, 200642",Draw a map of Jessie and Rolf’s travels and label the things they could smell at each location.,198,I,13,Compare and Contrast,General Narrative,,,,,
